left_id,right_id,preferred_id,left_name,right_name,created_at
4593,49,49,Xicaque,Neumark,2026-08-16T07:48:49.372450+00:00
4122,38,38,Shenkursk,Riga,2026-08-16T07:48:58.273792+00:00
32,405,405,Keksholm,Tadmor,2026-08-16T07:49:13.425480+00:00
1761,4393,1761,Pfalz,Tabayin,2026-08-16T07:49:39.905046+00:00
395,4148,395,Qatar,Luki,2026-08-16T07:49:49.945065+00:00
1959,4905,1959,Torzhok,Tapouaro,2026-08-16T07:49:59.705162+00:00
2675,1160,2675,Rokan,Mandara,2026-08-16T07:50:20.554551+00:00
802,167,167,Chuquiabo,Caux,2026-08-16T07:50:39.312921+00:00
155,4838,155,Bekes,SipEt,2026-08-16T07:53:00.127128+00:00
2151,4111,4111,Poyang,Saintonge,2026-08-16T07:53:28.966823+00:00
2692,478,478,Madura,Argyn,2026-08-16T07:54:04.414236+00:00
249,1224,1224,Ayrshire,Gonder,2026-08-16T07:54:24.030495+00:00
740,2587,740,Chanderi,Odawa,2026-08-16T07:54:59.285254+00:00
4508,1835,1835,Bahawalpur,Mino,2026-08-16T07:55:06.629159+00:00
138,4744,4744,Zeta,Zwickau,2026-08-16T07:55:16.349130+00:00
4593,2447,2447,Xicaque,Mantrega,2026-08-16T07:55:23.908803+00:00
2693,4748,4748,Lombok,Brandenburg,2026-08-16T07:55:33.068660+00:00
2662,1125,1125,Olancho,Kong,2026-08-16T07:55:39.180720+00:00
2114,2891,2114,Ereen,SantaAnadasMinas,2026-08-16T07:55:44.268670+00:00
4831,2041,4831,Bangkok,Manipur,2026-08-16T07:55:49.220429+00:00
