,owner,culture,religion,hre,base_tax,base_production,trade_goods,base_manpower,capital,is_city,center_of_trade,name,id,trade_node
0,SWE,swedish,catholic,no,5,5,grain,3,Stockholm,yes,2,Uppland,1,baltic_sea
1,NOR,Unowned,catholic,no,1,1,fur,1,Frösön,yes,0,Jamtland,10,north_sea
2,FRI,frisian,catholic,yes,6,6,livestock,2,Leeuwarden,yes,0,Friesland,100,english_channel
3,ENG,cree,totemism,no,1,2,unknown,1,Cree,yes,0,Cree,1000,james_bay
4,FRA,anishinabe,totemism,no,2,2,unknown,1,Sault,yes,0,Sault,1001,ohio
5,FRA,algonquin,totemism,no,1,1,unknown,1,Abitbi,yes,0,Abitbi,1002,james_bay
6,ENG,cree,totemism,no,1,2,unknown,1,MooseCree,yes,0,MooseCree,1003,james_bay
7,ENG,cree,totemism,no,1,2,unknown,1,Attawapiskat,yes,0,Attawapiskat,1004,james_bay
8,ENG,cree,totemism,no,1,2,unknown,1,SwampyCree,yes,0,SwampyCree,1005,james_bay
9,GBR,inuit,totemism,no,1,2,unknown,1,Ahiarmiut,yes,0,Chipewyan,1006,james_bay
10,---,anishinabe,totemism,no,1,1,unknown,1,Ojibwa,no,0,Ojibwa,1007,ohio
11,FRA,bungi,totemism,no,1,1,unknown,1,Manitoba,yes,1,Winnipeg,1008,james_bay
12,GBR,bungi,totemism,no,1,1,unknown,1,Manitoba,yes,0,Atikaki,1009,james_bay
13,GEN,ligurian,catholic,yes,10,10,paper,5,Genova,yes,3,Genoa,101,genua
14,FRA,chipewyan,totemism,no,1,1,unknown,1,Manitoba,yes,0,Manitoba,1010,james_bay
15,FRA,plains_cree,totemism,no,1,1,unknown,1,WoodsCree,yes,0,WoodsCree,1011,james_bay
16,SMZ,kyushuan,shinto,no,3,3,iron,3,Kagoshima,yes,0,Satsuma,1012,nippon
17,KOR,korean,confucianism,no,3,3,grain,2,Cheongju,yes,0,Cheongju,1013,nippon
18,OTM,kyushuan,shinto,no,4,2,tropical_wood,3,Funai,yes,0,Bungo,1014,nippon
19,RYU,Unowned,animism,no,2,2,chinaware,1,Shuri,yes,0,Okinawa,1015,nippon
20,DAI,vietnamese,mahayana,no,5,3,fish,3,HaTinh,yes,0,HaTinh,1016,canton
21,OUC,japanese,shinto,no,4,2,silk,3,Yamaguchi,yes,1,Suo,1017,nippon
22,AMA,japanese,shinto,no,3,3,iron,2,Matsue,yes,0,Izumo,1018,nippon
23,YMN,japanese,shinto,no,3,3,grain,2,Himeji,yes,0,Harima,1019,nippon
24,SAV,ligurian,catholic,yes,4,4,fish,2,Nice,yes,0,Nice,102,genua
25,ASK,japanese,shinto,no,6,5,silk,2,Kyoto,yes,0,Yamashiro,1020,nippon
26,HSK,japanese,shinto,no,6,6,chinaware,3,Naniwa,yes,1,Settsu,1021,nippon
27,CHA,cham,hinduism,no,4,4,incense,2,Indrapura,yes,0,Indrapura,1022,gulf_of_siam
28,SBA,japanese,shinto,no,3,4,paper,2,Takefu,yes,0,Echizen,1023,nippon
29,UES,togoku,shinto,no,4,4,grain,3,Naoetsu,yes,0,Echigo,1024,nippon
30,SBA,togoku,shinto,no,2,2,grain,3,Yamagata,yes,0,Dewa,1025,nippon
31,DTE,togoku,shinto,no,3,3,grain,3,Aizu,yes,0,Rikuzen,1026,nippon
32,STK,togoku,shinto,no,2,2,fish,2,Ota,yes,0,Hitachi,1027,nippon
33,UES,togoku,shinto,no,6,6,fish,3,Kawagoe,yes,2,Musashi,1028,nippon
34,TKD,togoku,shinto,no,3,3,livestock,3,Kofu,yes,0,Kai,1029,nippon
35,SAV,piedmontese,catholic,yes,7,7,wine,3,Torino,yes,0,Piedmont,103,genua
36,ODA,togoku,shinto,no,4,4,dyes,2,Kiyosu,yes,0,Owari,1030,nippon
37,ANU,ainu,animism,no,1,1,fish,1,Kamikawa,yes,0,Kamikawa,1031,nippon
38,ANU,ainu,animism,no,1,1,fish,1,Kuril,yes,0,Kurils,1032,nippon
39,ANU,ainu,animism,no,1,1,fish,1,Sakhalin,yes,0,Sakhalin,1033,girin
40,KMC,kamchatkan,tengri_pagan_reformed,no,1,1,fish,1,Kamchatka,yes,0,Kamchatka,1034,girin
41,CHU,kamchatkan,tengri_pagan_reformed,no,1,1,fish,1,Penzhinsky,yes,0,Penchisky,1035,girin
42,RUS,yukagyr,tengri_pagan_reformed,no,1,1,unknown,1,Srednekolymsk,yes,0,Podzhiversk,1036,girin
43,RUS,yukagyr,tengri_pagan_reformed,no,1,1,unknown,1,Omolon,yes,0,Nizhe,1037,girin
44,HOD,yukagyr,tengri_pagan_reformed,no,1,1,fur,1,Karalveyem,yes,0,Anadyrsk,1038,girin
45,RUS,yukagyr,tengri_pagan_reformed,no,1,1,unknown,1,Verkhoyansk,yes,0,Verkhoyansk,1039,girin
46,MLO,lombard,catholic,yes,8,7,cloth,6,Milano,no,2,Milan,104,genua
47,RUS,yukagyr,tengri_pagan_reformed,no,1,1,unknown,1,SuntarKhayat,yes,0,SuntarKhayat,1040,girin
48,RUS,kamchatkan,tengri_pagan_reformed,no,1,1,unknown,1,Gizhiga,yes,0,Gizhiga,1041,girin
49,RUS,yakut,tengri_pagan_reformed,no,1,1,unknown,1,Sakha,yes,0,Kamnuskoye,1042,girin
50,RUS,yakut,tengri_pagan_reformed,no,1,1,unknown,1,Okhotsk,yes,0,Okhotsk,1043,girin
51,RUS,kamchatkan,tengri_pagan_reformed,no,1,1,unknown,1,Tauisk,yes,0,Tauisk,1044,girin
52,RUS,yakut,tengri_pagan_reformed,no,1,1,unknown,1,Yakutsk,yes,0,Yakutsk,1045,siberia
53,RUS,yakut,tengri_pagan_reformed,no,1,1,unknown,1,Ust-Maya,yes,0,Butalsk,1046,girin
54,RUS,yakut,tengri_pagan_reformed,no,1,1,unknown,1,Jugjur,yes,0,Jugjur,1047,girin
55,NVK,nivkh,tengri_pagan_reformed,no,2,2,fur,2,Udskoye,yes,0,Udskoye,1048,girin
56,SOL,evenk,tengri_pagan_reformed,no,2,2,fur,2,Haiilanboo,yes,0,Hailanboo,1049,girin
57,MLO,romagnan,catholic,yes,6,5,livestock,4,Parma,no,0,Parma,105,venice
58,NVK,nivkh,tengri_pagan_reformed,no,4,4,fur,3,Deren,yes,0,Deren,1050,girin
59,RUS,yakut,tengri_pagan_reformed,no,1,1,unknown,1,Aldan,yes,0,Uchurskoye,1051,siberia
60,RUS,yakut,tengri_pagan_reformed,no,1,1,unknown,2,Stanovoy,yes,0,Verkohzehkoye,1052,girin
61,SOL,evenk,tengri_pagan_reformed,no,2,2,fur,3,Hinggan,yes,0,Hinggan,1053,girin
62,Unowned,tungus,tengri_pagan_reformed,no,1,1,unknown,1,Mukhtuya,yes,0,Ilimsk,1054,siberia
63,RUS,buryat,tengri_pagan_reformed,no,2,2,unknown,2,Kirenga,no,0,Verkne,1055,girin
64,RUS,buryat,tengri_pagan_reformed,no,3,3,unknown,3,Barguzin,no,0,Barguzinsky,1056,girin
65,RUS,buryat,tengri_pagan_reformed,no,3,3,unknown,2,Udinskoye,no,0,Udinsky,1057,girin
66,KHA,buryat,tengri_pagan_reformed,no,1,1,fur,1,Nerchinsky,yes,0,Nerchinsky,1058,girin
67,RUS,tungus,tengri_pagan_reformed,no,1,1,unknown,1,Kezemskoe,yes,0,Bratsk,1059,siberia
68,FER,romagnan,catholic,yes,5,5,livestock,2,Modena,yes,0,Modena,106,venice
69,RUS,buryat,tengri_pagan_reformed,no,1,1,unknown,1,Irkutsk,yes,1,Irkutsk,1060,siberia
70,RUS,tungus,tengri_pagan_reformed,no,1,1,unknown,1,Novoselovo,yes,0,Yeniseysk,1061,siberia
71,RUS,buryat,tengri_pagan_reformed,no,1,1,unknown,1,Angara,yes,0,Kachinsk,1062,siberia
72,RUS,buryat,tengri_pagan_reformed,no,1,1,unknown,1,Sayan,yes,0,Sayan,1063,siberia
73,RUS,ostyaki,tengri_pagan_reformed,no,1,1,unknown,1,Tomsk,yes,0,Tomsk,1064,siberia
74,OIR,kirgiz,tengri_pagan_reformed,no,1,1,unknown,1,Kuznetsk,yes,0,Kuznetsk,1065,siberia
75,OIR,buryat,tengri_pagan_reformed,no,1,1,fur,1,Altai,yes,0,Altai,1066,siberia
76,RUS,samoyed,orthodox,no,1,1,unknown,1,Turukhan,yes,0,Narym,1067,siberia
77,RUS,ostyaki,tengri_pagan_reformed,no,1,1,unknown,1,Ket,yes,0,PegayaOrda,1068,siberia
78,SIB,samoyed,orthodox,no,1,1,unknown,1,Sörgüt,yes,0,Surgut,1069,siberia
79,Unowned,lombard,catholic,yes,5,5,cloth,3,Brescia,yes,0,Brescia,107,venice
80,SIB,samoyed,orthodox,no,1,1,unknown,1,Narim,yes,0,Koda,1070,siberia
81,SHY,siberian,sunni,no,2,2,fur,2,Tara,yes,0,Tara,1071,siberia
82,RUS,samoyed,orthodox,no,1,1,unknown,1,Obdorsk,yes,0,Obdorsk,1072,siberia
83,RUS,samoyed,orthodox,no,1,1,unknown,1,Berezov,yes,0,Berezov,1073,siberia
84,SHY,ostyaki,sunni,no,2,2,fur,2,Qashliq,yes,0,Sibir,1074,siberia
85,SHY,siberian,sunni,no,4,4,fur,4,Chimgi-Tura,yes,1,Tyumen,1075,siberia
86,SHY,siberian,sunni,no,3,3,fur,3,Kurgan,yes,0,Kurgan,1076,siberia
87,PRM,uralic,Unowned,no,3,0,,1,Solikamsk,yes,0,Solikamsk,1077,white_sea
88,SIB,uralic,orthodox,no,1,1,unknown,1,Neromkar,yes,0,MiddleUrals,1078,siberia
89,MOS,russian,orthodox,no,3,3,copper,4,Hlynov,yes,0,Viatka,1079,kazan
