,owner,culture,religion,hre,base_tax,base_production,trade_goods,base_manpower,capital,is_city,center_of_trade,name,province_id,trade_node,middle_x_pos,middle_y_pos
0,SWE,swedish,catholic,False,5,5,grain,3,Stockholm,True,2,Uppland,1,baltic_sea,3077.0,321.0
1,NOR,Unowned,catholic,False,1,1,fur,1,Frösön,True,0,Jamtland,10,north_sea,3029.0,234.0
2,FRI,frisian,catholic,True,6,6,livestock,2,Leeuwarden,True,0,Friesland,100,english_channel,2896.0,465.0
3,ENG,cree,totemism,False,1,2,unknown,1,Cree,True,0,Cree,1000,james_bay,1579.0,228.0
4,FRA,anishinabe,totemism,False,2,2,unknown,1,Sault,True,0,Sault,1001,ohio,1510.0,368.0
5,FRA,algonquin,totemism,False,1,1,unknown,1,Abitbi,True,0,Abitbi,1002,james_bay,1579.0,329.0
6,ENG,cree,totemism,False,1,2,unknown,1,MooseCree,True,0,MooseCree,1003,james_bay,1532.0,274.0
7,ENG,cree,totemism,False,1,2,unknown,1,Attawapiskat,True,0,Attawapiskat,1004,james_bay,1503.0,231.0
8,ENG,cree,totemism,False,1,2,unknown,1,SwampyCree,True,0,SwampyCree,1005,james_bay,1356.0,172.0
9,GBR,inuit,totemism,False,1,2,unknown,1,Ahiarmiut,True,0,Chipewyan,1006,james_bay,1315.0,130.0
10,---,anishinabe,totemism,False,1,1,unknown,1,Ojibwa,False,0,Ojibwa,1007,ohio,1398.0,325.0
11,FRA,bungi,totemism,False,1,1,unknown,1,Manitoba,True,1,Winnipeg,1008,james_bay,1304.0,310.0
12,GBR,bungi,totemism,False,1,1,unknown,1,Manitoba,True,0,Atikaki,1009,james_bay,1302.0,260.0
13,GEN,ligurian,catholic,True,10,10,paper,5,Genova,True,3,Genoa,101,genua,2949.0,639.0
14,FRA,chipewyan,totemism,False,1,1,unknown,1,Manitoba,True,0,Manitoba,1010,james_bay,1267.0,284.0
15,FRA,plains_cree,totemism,False,1,1,unknown,1,WoodsCree,True,0,WoodsCree,1011,james_bay,1243.0,250.0
16,SMZ,kyushuan,shinto,False,3,3,iron,3,Kagoshima,True,0,Satsuma,1012,nippon,4844.0,884.0
17,KOR,korean,confucianism,False,3,3,grain,2,Cheongju,True,0,Cheongju,1013,nippon,4786.0,789.0
18,OTM,kyushuan,shinto,False,4,2,tropical_wood,3,Funai,True,0,Bungo,1014,nippon,4856.0,850.0
19,RYU,Unowned,animism,False,2,2,chinaware,1,Shuri,True,0,Okinawa,1015,nippon,4817.0,953.0
20,DAI,vietnamese,mahayana,False,5,3,fish,3,HaTinh,True,0,HaTinh,1016,canton,4454.0,1103.0
21,OUC,japanese,shinto,False,4,2,silk,3,Yamaguchi,True,1,Suo,1017,nippon,4860.0,830.0
22,AMA,japanese,shinto,False,3,3,iron,2,Matsue,True,0,Izumo,1018,nippon,4886.0,804.0
23,YMN,japanese,shinto,False,3,3,grain,2,Himeji,True,0,Harima,1019,nippon,4910.0,817.0
24,SAV,ligurian,catholic,True,4,4,fish,2,Nice,True,0,Nice,102,genua,2918.0,649.0
25,ASK,japanese,shinto,False,6,5,silk,2,Kyoto,True,0,Yamashiro,1020,nippon,4929.0,813.0
26,HSK,japanese,shinto,False,6,6,chinaware,3,Naniwa,True,1,Settsu,1021,nippon,4920.0,823.0
27,CHA,cham,hinduism,False,4,4,incense,2,Indrapura,True,0,Indrapura,1022,gulf_of_siam,4490.0,1145.0
28,SBA,japanese,shinto,False,3,4,paper,2,Takefu,True,0,Echizen,1023,nippon,4931.0,801.0
29,UES,togoku,shinto,False,4,4,grain,3,Naoetsu,True,0,Echigo,1024,nippon,4971.0,767.0
30,SBA,togoku,shinto,False,2,2,grain,3,Yamagata,True,0,Dewa,1025,nippon,4993.0,750.0
31,DTE,togoku,shinto,False,3,3,grain,3,Aizu,True,0,Rikuzen,1026,nippon,4997.0,762.0
32,STK,togoku,shinto,False,2,2,fish,2,Ota,True,0,Hitachi,1027,nippon,4997.0,791.0
33,UES,togoku,shinto,False,6,6,fish,3,Kawagoe,True,2,Musashi,1028,nippon,4981.0,800.0
34,TKD,togoku,shinto,False,3,3,livestock,3,Kofu,True,0,Kai,1029,nippon,4970.0,805.0
35,SAV,piedmontese,catholic,True,7,7,wine,3,Torino,True,0,Piedmont,103,genua,2923.0,621.0
36,ODA,togoku,shinto,False,4,4,dyes,2,Kiyosu,True,0,Owari,1030,nippon,4944.0,814.0
37,ANU,ainu,animism,False,1,1,fish,1,Kamikawa,True,0,Kamikawa,1031,nippon,5040.0,640.0
38,ANU,ainu,animism,False,1,1,fish,1,Kuril,True,0,Kurils,1032,nippon,5154.0,587.0
39,ANU,ainu,animism,False,1,1,fish,1,Sakhalin,True,0,Sakhalin,1033,girin,5042.0,551.0
40,KMC,kamchatkan,tengri_pagan_reformed,False,1,1,fish,1,Kamchatka,True,0,Kamchatka,1034,girin,5315.0,434.0
41,CHU,kamchatkan,tengri_pagan_reformed,False,1,1,fish,1,Penzhinsky,True,0,Penchisky,1035,girin,5343.0,263.0
42,RUS,yukagyr,tengri_pagan_reformed,False,1,1,unknown,1,Srednekolymsk,True,0,Podzhiversk,1036,girin,5211.0,112.0
43,RUS,yukagyr,tengri_pagan_reformed,False,1,1,unknown,1,Omolon,True,0,Nizhe,1037,girin,5285.0,123.0
44,HOD,yukagyr,tengri_pagan_reformed,False,1,1,fur,1,Karalveyem,True,0,Anadyrsk,1038,girin,5395.0,145.0
45,RUS,yukagyr,tengri_pagan_reformed,False,1,1,unknown,1,Verkhoyansk,True,0,Verkhoyansk,1039,girin,5018.0,154.0
46,MLO,lombard,catholic,True,8,7,cloth,6,Milano,False,2,Milan,104,genua,2947.0,616.0
47,RUS,yukagyr,tengri_pagan_reformed,False,1,1,unknown,1,SuntarKhayat,True,0,SuntarKhayat,1040,girin,5090.0,214.0
48,RUS,kamchatkan,tengri_pagan_reformed,False,1,1,unknown,1,Gizhiga,True,0,Gizhiga,1041,girin,5218.0,241.0
49,RUS,yakut,tengri_pagan_reformed,False,1,1,unknown,1,Sakha,True,0,Kamnuskoye,1042,girin,4947.0,214.0
50,RUS,yakut,tengri_pagan_reformed,False,1,1,unknown,1,Okhotsk,True,0,Okhotsk,1043,girin,4998.0,310.0
51,RUS,kamchatkan,tengri_pagan_reformed,False,1,1,unknown,1,Tauisk,True,0,Tauisk,1044,girin,5138.0,283.0
52,RUS,yakut,tengri_pagan_reformed,False,1,1,unknown,1,Yakutsk,True,0,Yakutsk,1045,siberia,4719.0,249.0
53,RUS,yakut,tengri_pagan_reformed,False,1,1,unknown,1,Ust-Maya,True,0,Butalsk,1046,girin,4852.0,311.0
54,RUS,yakut,tengri_pagan_reformed,False,1,1,unknown,1,Jugjur,True,0,Jugjur,1047,girin,4910.0,381.0
55,NVK,nivkh,tengri_pagan_reformed,False,2,2,fur,2,Udskoye,True,0,Udskoye,1048,girin,4958.0,472.0
56,SOL,evenk,tengri_pagan_reformed,False,2,2,fur,2,Haiilanboo,True,0,Hailanboo,1049,girin,4832.0,493.0
57,MLO,romagnan,catholic,True,6,5,livestock,4,Parma,False,0,Parma,105,venice,2959.0,635.0
58,NVK,nivkh,tengri_pagan_reformed,False,4,4,fur,3,Deren,True,0,Deren,1050,girin,4996.0,490.0
59,RUS,yakut,tengri_pagan_reformed,False,1,1,unknown,1,Aldan,True,0,Uchurskoye,1051,siberia,4779.0,327.0
60,RUS,yakut,tengri_pagan_reformed,False,1,1,unknown,2,Stanovoy,True,0,Verkohzehkoye,1052,girin,4787.0,381.0
61,SOL,evenk,tengri_pagan_reformed,False,2,2,fur,3,Hinggan,True,0,Hinggan,1053,girin,4743.0,485.0
62,Unowned,tungus,tengri_pagan_reformed,False,1,1,unknown,1,Mukhtuya,True,0,Ilimsk,1054,siberia,4555.0,300.0
63,RUS,buryat,tengri_pagan_reformed,False,2,2,unknown,2,Kirenga,False,0,Verkne,1055,girin,4542.0,386.0
64,RUS,buryat,tengri_pagan_reformed,False,3,3,unknown,3,Barguzin,False,0,Barguzinsky,1056,girin,4563.0,455.0
65,RUS,buryat,tengri_pagan_reformed,False,3,3,unknown,2,Udinskoye,False,0,Udinsky,1057,girin,4493.0,506.0
